"","XE0N","XE0P","XE0U","XE1N","XE1P","XE1U","XS0N","XS0P","XS0U","XS1N","XS1P","XS1U","YS0N","YS0P","YS0U","YS1N","YS1P","YS1U"
"2",17,0,2,477,0,14,33,0,4,202,0,7,0,0,178,0,0,67
"3",37,0,5,450,0,24,25,0,4,206,0,6,0,0,176,0,0,65
"4",32,0,5,451,0,15,31,0,3,212,0,3,0,0,190,0,0,58
"5",0,0,106,0,0,383,0,0,103,0,0,153,0,0,103,0,0,153
"6",31,0,0,461,0,4,33,0,0,219,0,0,0,0,195,0,0,57
"7",19,0,2,455,0,4,38,0,5,213,0,5,0,0,200,0,0,61
"8",26,0,1,482,0,5,32,0,2,205,0,2,0,0,186,0,0,57
"9",30,0,4,460,0,10,44,0,2,198,0,4,0,0,186,0,0,62
"10",37,0,4,457,0,15,37,0,3,202,0,1,0,0,188,0,0,55
"11",29,0,2,435,0,5,33,0,3,226,0,3,0,0,214,0,0,51
"12",27,0,0,477,0,3,34,0,1,210,0,1,0,0,199,0,0,47
"13",0,0,113,0,0,410,0,0,97,0,0,142,0,0,97,0,0,141
"14",0,0,122,0,0,376,0,0,107,0,0,144,0,0,107,0,0,144
"15",22,0,1,462,0,7,30,0,3,219,0,1,0,0,204,0,0,49
"16",22,0,2,463,0,13,40,0,4,204,0,2,0,0,201,0,0,50
"17",0,0,112,0,0,389,0,0,110,0,0,140,0,0,109,0,0,140
"18",0,0,123,0,0,370,0,0,103,0,0,150,0,0,103,0,0,151
"19",0,0,105,0,0,392,0,0,102,0,0,150,0,0,101,0,0,151
"20",28,0,6,456,0,18,45,0,4,193,0,4,0,0,176,0,0,71
"21",37,0,2,463,0,13,40,0,3,198,0,2,0,0,170,0,0,72
"22",24,0,0,454,0,2,34,0,0,225,0,0,0,0,192,0,0,67
"23",26,0,0,472,0,6,34,0,0,215,0,0,0,0,186,0,0,61
"24",22,0,6,479,0,24,32,0,7,190,0,7,0,0,181,0,0,54
"25",33,0,3,478,0,6,38,0,2,197,0,2,0,0,197,0,0,44
"26",0,0,87,0,0,400,0,0,97,0,0,159,0,0,98,0,0,159
"27",0,0,103,0,0,395,0,0,83,0,0,169,0,0,83,0,0,168
"28",0,0,91,0,0,450,0,0,83,0,0,147,0,0,83,0,0,147
"29",27,0,17,428,0,19,35,0,7,210,0,3,0,0,201,0,0,55
"30",34,0,3,456,0,6,29,0,5,214,0,3,0,0,192,0,0,58
"31",33,0,6,446,0,12,30,0,5,211,0,5,0,0,198,0,0,53
"32",37,0,3,464,0,14,33,0,1,206,0,3,0,0,184,0,0,57
"33",45,0,4,450,0,14,35,0,5,199,0,4,0,0,194,0,0,50
"34",24,0,15,463,0,27,31,0,13,184,0,7,0,0,185,0,0,51
"35",0,0,78,0,0,399,0,0,88,0,0,174,0,0,88,0,0,174
"36",21,0,2,461,0,7,31,0,0,223,0,1,0,0,202,0,0,52
"37",0,0,99,0,0,376,0,0,104,0,0,159,0,0,104,0,0,158
"38",35,0,1,451,0,2,37,0,2,213,0,3,0,0,215,0,0,40
"39",0,0,117,0,0,368,0,0,103,0,0,155,0,0,103,0,0,155
"40",29,0,5,448,0,13,33,0,6,210,0,3,0,0,195,0,0,57
"41",16,0,3,466,0,13,35,0,6,207,0,5,0,0,190,0,0,62
"42",19,0,0,485,0,2,34,0,0,213,0,0,0,0,198,0,0,49
"43",0,0,97,0,0,418,0,0,98,0,0,144,0,0,98,0,0,145
"44",34,0,2,457,0,11,33,0,1,211,0,3,0,0,200,0,0,49
"45",25,0,0,482,0,3,30,0,3,211,0,2,0,0,189,0,0,57
"46",0,0,82,0,0,428,0,0,88,0,0,158,0,0,88,0,0,158
"47",34,0,4,446,0,28,35,0,7,190,0,11,0,0,178,0,0,65
"48",0,0,132,0,0,367,0,0,110,0,0,140,0,0,110,0,0,141
"49",0,0,132,0,0,387,0,0,99,0,0,142,0,0,98,0,0,142
"50",38,0,8,458,0,28,29,0,5,195,0,5,0,0,177,0,0,57
"51",0,0,114,0,0,400,0,0,97,0,0,146,0,0,96,0,0,147
"52",0,0,88,0,0,409,0,0,85,0,0,166,0,0,85,0,0,166
"53",0,0,78,0,0,435,0,0,81,0,0,162,0,0,81,0,0,162
"54",0,0,108,0,0,394,0,0,104,0,0,145,0,0,104,0,0,145
"55",25,0,0,452,0,7,35,0,2,219,0,2,0,0,207,0,0,51
"56",0,0,83,0,0,412,0,0,80,0,0,172,0,0,81,0,0,172
"57",33,0,6,440,0,21,40,0,13,185,0,11,0,0,195,0,0,56
"58",0,0,55,0,0,405,0,0,78,0,0,192,0,0,78,0,0,192
"59",23,0,3,472,0,11,42,0,5,194,0,4,0,0,181,0,0,64
"60",25,0,0,443,0,4,41,0,0,222,0,1,0,0,211,0,0,52
"61",26,0,1,451,0,2,38,0,0,222,0,0,0,0,209,0,0,51
"62",0,0,79,0,0,439,0,0,78,0,0,163,0,0,78,0,0,162
"63",23,0,0,469,0,6,38,0,1,212,0,0,0,0,198,0,0,52
"64",0,0,77,0,0,422,0,0,91,0,0,159,0,0,91,0,0,159
"65",28,0,0,471,0,3,46,0,1,199,0,2,0,0,195,0,0,54
"66",0,0,101,0,0,390,0,0,105,0,0,150,0,0,105,0,0,150
"67",14,0,1,458,0,2,46,0,2,211,0,1,0,0,203,0,0,59
"68",0,0,93,0,0,389,0,0,98,0,0,161,0,0,98,0,0,161
"69",38,0,0,469,0,2,35,0,1,207,0,2,0,0,198,0,0,48
"70",37,0,1,457,0,20,28,0,5,206,0,4,0,0,184,0,0,58
"71",42,0,5,461,0,8,40,0,5,189,0,7,0,0,179,0,0,63
"72",0,0,105,0,0,380,0,0,102,0,0,156,0,0,101,0,0,156
"73",0,0,100,0,0,433,0,0,92,0,0,141,0,0,92,0,0,142
"74",0,0,84,0,0,422,0,0,100,0,0,146,0,0,100,0,0,146
"75",40,0,5,448,0,16,39,0,8,190,0,8,0,0,187,0,0,58
"76",0,0,80,0,0,401,0,0,87,0,0,172,0,0,88,0,0,172
"77",40,0,5,441,0,13,32,0,8,201,0,9,0,0,184,0,0,65
"78",0,0,112,0,0,404,0,0,92,0,0,150,0,0,91,0,0,151
"79",0,0,129,0,0,386,0,0,105,0,0,137,0,0,105,0,0,137
"80",26,0,0,469,0,2,35,0,0,215,0,0,0,0,208,0,0,43
"81",0,0,84,0,0,409,0,0,104,0,0,150,0,0,104,0,0,150
"82",0,0,120,0,0,414,0,0,89,0,0,144,0,0,88,0,0,145
"83",23,0,1,483,0,3,30,0,1,213,0,1,0,0,190,0,0,54
"84",27,0,7,460,0,12,32,0,6,204,0,5,0,0,190,0,0,57
"85",28,0,0,464,0,6,36,0,0,213,0,1,0,0,191,0,0,61
"86",23,0,0,447,0,9,40,0,0,221,0,0,0,0,198,0,0,64
"87",25,0,2,463,0,2,37,0,2,214,0,2,0,0,197,0,0,56
"88",41,0,0,463,0,0,39,0,0,209,0,1,0,0,204,0,0,45
"89",22,0,0,488,0,8,33,0,1,204,0,3,0,0,188,0,0,54
"90",0,0,92,0,0,407,0,0,74,0,0,175,0,0,74,0,0,176
"91",31,0,7,443,0,5,40,0,2,212,0,2,0,0,191,0,0,66
"92",23,0,2,453,0,14,31,0,8,212,0,3,0,0,195,0,0,59
"93",30,0,1,489,0,6,30,0,1,204,0,1,0,0,184,0,0,53
"94",0,0,82,0,0,411,0,0,91,0,0,163,0,0,91,0,0,163
"95",20,0,0,479,0,2,33,0,0,214,0,2,0,0,205,0,0,44
"96",28,0,8,466,0,7,34,0,6,199,0,6,0,0,186,0,0,60
"97",31,0,3,442,0,4,34,0,1,223,0,2,0,0,202,0,0,58
"98",27,0,3,463,0,6,34,0,7,203,0,7,0,0,201,0,0,50
"99",40,0,0,460,0,5,36,0,6,202,0,3,0,0,202,0,0,45
"100",0,0,95,0,0,416,0,0,91,0,0,153,0,0,91,0,0,153
"101",29,0,7,440,0,17,32,0,4,214,0,4,0,0,195,0,0,58
